"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Literacy level is highest but the humanity level is lowest.. 
#KeralaElephantMurder https://t.co/9mjYRz1k7g

#JusticeForVinayaki",FALSE,0,NA,2020-06-04 12:29:17,FALSE,NA,"1268520196597182464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Avinash_Hindu1",0,FALSE,FALSE,NA,NA
"RIP HUMANITY <U+0001F625>
#KeralaElephantMurder https://t.co/yeQK2VlYdW",FALSE,0,NA,2020-06-04 12:29:15,FALSE,NA,"1268520188892282881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GafurSama",0,FALSE,FALSE,NA,NA
"RT @Newguru_Kotha: @Konjarla007 @bandisanjay_bjp @kishanreddybjp @TelanganaDGP @AmitShah He should be punished. No Mercy on him

#<U+0939><U+093F><U+0928><U+094D><U+0926><U+0942>_<U+0938><U+093E>…",FALSE,0,NA,2020-06-04 12:29:14,FALSE,NA,"1268520185352183814",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuryaDattaReddy",10,TRUE,FALSE,NA,NA
"RT @_2abjsesji: #KeralaElephantMurder
#Istandwithmalappuram 
#StopSpreadingHateAgainstKerala 

Stop this clear case of selective communal h…",FALSE,0,NA,2020-06-04 12:29:14,FALSE,NA,"1268520184169422851",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnupamBabu1",7,TRUE,FALSE,NA,NA
"Humanity has failed. You don’t deserve this world. On be half of kind soul human, I bow to you pay the respect with… https://t.co/FqLzrqBoVL",FALSE,0,NA,2020-06-04 12:29:13,TRUE,NA,"1268520181942362114",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","angel_keerthi95",0,FALSE,FALSE,NA,NA
"Trending Now - India:
#IndiaNepalFriendship
#BasuChatterjee
#KeralaElephantMurder
#<U+BB34><U+C5C7><U+C774><U+B4E0><U+ADF8><U+B824><U+B4DC><U+B9BD><U+B2C8><U+B2E4>
#<U+092C><U+0947><U+0936><U+0930><U+094D><U+092E>_<U+092D><U+093E><U+091C><U+092A><U+093E>
Bharti… https://t.co/SS14qSQNao",FALSE,0,NA,2020-06-04 12:29:12,TRUE,NA,"1268520176699551749",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrendsOnSM",0,FALSE,FALSE,NA,NA
"This is a case of extreme cruelty to kill an innocent animal. What was her fault?? That she was hungry?? Have peopl… https://t.co/iudUN3nxyM",FALSE,0,NA,2020-06-04 12:29:11,TRUE,NA,"1268520169917181957",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karanmasson",0,FALSE,FALSE,NA,NA
"#JusticeForVinayaki as a human I am sorry...
#KeralaElephantMurder 
#humanityisdead 
#elephantkerala",FALSE,0,NA,2020-06-04 12:29:05,FALSE,NA,"1268520145439186952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KumarDesine",0,FALSE,FALSE,NA,NA
"Elephant deserves the humanity 
Not we humans . After watching the death of the pregnant elephant… https://t.co/AUC099nF28",FALSE,0,NA,2020-06-04 12:28:51,TRUE,NA,"1268520087167938561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manoj39411697",0,FALSE,FALSE,NA,NA
"RT @DrBpatel: Since the #CoronavirusOutbreak ,the world is cursing China for eating and haunting animals.
Cruel people don’t belong to a pa…",FALSE,0,NA,2020-06-04 12:28:45,FALSE,NA,"1268520062555762690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harshu_Back",3,TRUE,FALSE,NA,NA
"RT @shyamladani94: #Elephant #saveanimals #India #NonVegetarians_Are_Killers @

Please don't talk about the poor Elephant. If you enjoy but…",FALSE,0,NA,2020-06-04 12:28:43,FALSE,NA,"1268520055211528193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KEVINDEDANIYA",5,TRUE,FALSE,NA,NA
"RT @ashokepandit: We r being punished by God and are under house arrest since last 3 months for constantly abusing nature. 
We continue to…",FALSE,0,NA,2020-06-04 12:28:41,FALSE,NA,"1268520044650250241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjayC76198257",490,TRUE,FALSE,NA,NA
"I'm nt favouring the culprits bt ironically thing is no one post on social media tht how many cows hv killed by fee… https://t.co/P47xawEkRG",FALSE,0,NA,2020-06-04 12:28:40,TRUE,NA,"1268520042330615809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GargiPurohit2",0,FALSE,FALSE,NA,NA
"To watch the full story click on the link below #Elephant #KeralaElephantMurder
https://t.co/sicqebbwGE https://t.co/B1VMntAbgg",FALSE,0,NA,2020-06-04 12:28:39,FALSE,NA,"1268520037188599811",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AWAREINDIA71",0,FALSE,FALSE,NA,NA
"RT @itsme_your_himu: first they kill dogs 
and now elephants now kerala is Demons own country 
#KeralaElephantMurder #humanityisdead #Justi…",FALSE,0,NA,2020-06-04 12:28:39,FALSE,NA,"1268520036467126277",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Umeshku76180450",6,TRUE,FALSE,NA,NA
"RT @NabiyaKhan11: While people outraged over the death of the pregnant Elephant &amp; rightly so, I can't help but wonder how no outrage is bei…",FALSE,0,NA,2020-06-04 12:28:37,FALSE,NA,"1268520029081030656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yousufsiddique9",618,TRUE,FALSE,NA,NA
"#KeralaElephantMurder #humanityisdead #elephantkerala #manekagandhi Let's discuss this hypocrisy as well...
Yess pl… https://t.co/OQFuyAnMgX",FALSE,0,NA,2020-06-04 12:28:27,TRUE,NA,"1268519988253478912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chauhan_legal",0,FALSE,FALSE,NA,NA
"RT @KarthikaNair9: As a Keralaite this embarasses and pains me. 

Don't let politics come in the way of justice.

Please help @CMOKerala @K…",FALSE,0,NA,2020-06-04 12:28:27,FALSE,NA,"1268519987536293890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Renison007",21,TRUE,FALSE,NA,NA
